user_sequence,challenge
67853_11,CI27804
67856_11,CI23856
67857_11,CI24527
67860_11,CI23933
67861_11,CI23855
67872_11,CI27510
67873_11,CI25125
67876_11,CI24968
67877_11,CI26506
67879_11,CI24928
67880_11,CI27811
67881_11,CI24175
67883_11,CI24784
67887_11,CI25136
67889_11,CI24187
67892_11,CI25053
67893_11,CI24031
67894_11,CI27806
67896_11,CI25029
67902_11,CI24031
67904_11,CI24099
67907_11,CI24188
67908_11,CI24420
67910_11,CI27811
67912_11,CI26907
67913_11,CI24610
67915_11,CI24445
67917_11,CI27811
67923_11,CI24445
67926_11,CI25136
67927_11,CI23975
67928_11,CI25124
67932_11,CI25139
67938_11,CI27810
67939_11,CI24421
67941_11,CI23855
67945_11,CI25562
67948_11,CI28194
67949_11,CI28199
67950_11,CI24530
67953_11,CI26912
67956_11,CI26862
67957_11,CI24529
67958_11,CI26862
67959_11,CI26870
67965_11,CI24873
67968_11,CI25057
67970_11,CI26234
67972_11,CI25056
67974_11,CI26908
67975_11,CI23855
67978_11,CI26787
67979_11,CI26925
67987_11,CI25709
67993_11,CI26908
67995_11,CI26282
68000_11,CI26908
68002_11,CI26141
68005_11,CI25108
68008_11,CI27505
68010_11,CI24296
68015_11,CI25180
68016_11,CI24611
68019_11,CI24210
68022_11,CI24276
68029_11,CI24530
68030_11,CI25301
68033_11,CI26171
68035_11,CI23714
68037_11,CI25446
68038_11,CI24440
68039_11,CI24239
68040_11,CI23933
68043_11,CI26926
68046_11,CI24535
68048_11,CI25300
68055_11,CI28189
68056_11,CI24968
68059_11,CI25673
68066_11,CI26051
68068_11,CI27080
68070_11,CI26170
68072_11,CI24917
68074_11,CI26174
68075_11,CI28192
68077_11,CI28192
68079_11,CI24184
68081_11,CI24968
68083_11,CI28186
68085_11,CI25074
68086_11,CI25141
68091_11,CI24070
68092_11,CI23663
68095_11,CI24636
68098_11,CI27978
68102_11,CI25053
68103_11,CI24871
68107_11,CI27850
68109_11,CI25126
68115_11,CI24230
68117_11,CI24115
68119_11,CI25492
68121_11,CI24935
68124_11,CI26993
68129_11,CI24603
68134_11,CI23769
68137_11,CI25295
68139_11,CI24943
68140_11,CI25295
68141_11,CI25106
68143_11,CI25446
68144_11,CI26429
68145_11,CI25105
68146_11,CI25149
68147_11,CI23702
68148_11,CI24440
68153_11,CI23697
68158_11,CI24100
68159_11,CI23663
68161_11,CI27399
68162_11,CI24421
68165_11,CI23843
68166_11,CI23770
68167_11,CI23848
68169_11,CI25507
68170_11,CI25106
68174_11,CI23708
68175_11,CI26931
68184_11,CI24490
68186_11,CI26916
68187_11,CI25149
68188_11,CI25450
68195_11,CI25106
68197_11,CI25141
68198_11,CI24421
68199_11,CI23662
68210_11,CI26052
68214_11,CI24968
68218_11,CI26041
68225_11,CI24872
68229_11,CI24872
68230_11,CI26282
68231_11,CI26925
68233_11,CI23510
68237_11,CI24440
68238_11,CI24429
68239_11,CI24429
68244_11,CI24210
68245_11,CI26234
68249_11,CI23870
68250_11,CI26940
68254_11,CI24968
68259_11,CI25062
68260_11,CI24435
68262_11,CI26285
68265_11,CI26915
68266_11,CI27282
68267_11,CI25132
68269_11,CI25210
68270_11,CI23848
68271_11,CI25222
68276_11,CI25498
68277_11,CI26904
68279_11,CI25210
68281_11,CI26232
68283_11,CI24429
68284_11,CI25175
68286_11,CI25134
68287_11,CI25775
68288_11,CI25123
68290_11,CI24530
68292_11,CI23848
68297_11,CI23924
68299_11,CI25135
68304_11,CI23546
68308_11,CI24871
68314_11,CI26420
68315_11,CI25057
68316_11,CI24958
68323_11,CI25322
68325_11,CI26868
68327_11,CI25022
68332_11,CI26948
68334_11,CI24429
68337_11,CI23691
68338_11,CI28569
68339_11,CI26174
68340_11,CI25057
68341_11,CI23855
68343_11,CI24429
68345_11,CI26922
68347_11,CI26232
68349_11,CI24965
68355_11,CI26951
68356_11,CI25926
68358_11,CI24962
68363_11,CI24273
68365_11,CI28582
68366_11,CI26696
68377_11,CI25806
68379_11,CI24660
68381_11,CI25105
68391_11,CI28186
68392_11,CI25103
68395_11,CI24138
68396_11,CI25090
68397_11,CI24521
68401_11,CI24888
68403_11,CI24876
68406_11,CI25107
68407_11,CI24139
68410_11,CI26906
68414_11,CI28188
68415_11,CI25057
68416_11,CI28189
68419_11,CI25149
68421_11,CI25172
68426_11,CI26949
68429_11,CI26949
68433_11,CI24973
68434_11,CI24873
68435_11,CI24917
68436_11,CI24875
68443_11,CI24418
68446_11,CI25034
68448_11,CI23839
68451_11,CI24184
68452_11,CI28186
68453_11,CI25065
68466_11,CI24875
68467_11,CI26241
68469_11,CI25105
68476_11,CI24530
68478_11,CI23546
68485_11,CI25121
68492_11,CI24926
68493_11,CI24418
68494_11,CI25136
68496_11,CI24958
68499_11,CI24882
68500_11,CI24956
68503_11,CI25139
68504_11,CI26397
68507_11,CI23887
68513_11,CI26054
68515_11,CI26915
68516_11,CI26912
68519_11,CI24965
68528_11,CI26241
68530_11,CI24597
68533_11,CI25135
68535_11,CI24906
68537_11,CI23880
68540_11,CI25501
68552_11,CI25762
68554_11,CI24637
68555_11,CI24527
68556_11,CI26908
68557_11,CI26907
68558_11,CI27275
68559_11,CI28180
68561_11,CI24362
68564_11,CI26051
68574_11,CI24188
68578_11,CI25106
68579_11,CI24187
68580_11,CI26172
68582_11,CI24942
68584_11,CI27007
68589_11,CI26923
68591_11,CI24239
68597_11,CI26860
68605_11,CI26449
68607_11,CI24276
68612_11,CI24273
68615_11,CI24362
68617_11,CI24529
68619_11,CI26930
68620_11,CI24530
68621_11,CI25055
68624_11,CI23650
68628_11,CI24530
68632_11,CI26927
68636_11,CI25135
68638_11,CI24530
68639_11,CI24435
68641_11,CI24935
68643_11,CI25057
68645_11,CI24228
68648_11,CI26055
68657_11,CI24959
68658_11,CI24117
68665_11,CI24959
68670_11,CI24037
68673_11,CI25067
68676_11,CI27806
68678_11,CI25110
68680_11,CI24243
68684_11,CI28195
68685_11,CI27792
68686_11,CI27782
68689_11,CI26782
68691_11,CI25126
68692_11,CI24239
68694_11,CI26923
68695_11,CI25141
68696_11,CI23770
68700_11,CI23848
68701_11,CI27796
68706_11,CI24447
68707_11,CI24659
68709_11,CI24446
68716_11,CI24120
68722_11,CI26925
68723_11,CI25247
68727_11,CI26905
68728_11,CI25126
68729_11,CI24726
68730_11,CI23764
68735_11,CI24958
68737_11,CI24426
68742_11,CI26872
68743_11,CI27792
68748_11,CI25509
68753_11,CI26921
68757_11,CI26922
68758_11,CI24348
68762_11,CI24621
68768_11,CI24340
68769_11,CI26210
68770_11,CI25106
68772_11,CI25113
68773_11,CI26926
68776_11,CI26505
68777_11,CI25074
68778_11,CI27799
68779_11,CI27782
68781_11,CI26865
68782_11,CI26183
68783_11,CI23513
68790_11,CI25074
68792_11,CI27799
68793_11,CI24184
68796_11,CI26916
68798_11,CI24117
68801_11,CI25125
68803_11,CI25108
68805_11,CI25141
68806_11,CI25141
68807_11,CI26927
68810_11,CI24878
68814_11,CI24261
68817_11,CI28192
68818_11,CI28184
68819_11,CI25140
68820_11,CI26750
68822_11,CI23933
68829_11,CI23887
68830_11,CI24440
68832_11,CI24708
68834_11,CI23769
68835_11,CI23769
68840_11,CI28193
68843_11,CI25727
68844_11,CI26993
68846_11,CI24421
68851_11,CI25834
68853_11,CI24649
68865_11,CI24690
68869_11,CI26927
68872_11,CI28185
68875_11,CI25217
68876_11,CI27930
68877_11,CI28185
68878_11,CI28188
68879_11,CI26445
68881_11,CI26415
68883_11,CI26914
68891_11,CI24448
68897_11,CI24459
68899_11,CI23691
68905_11,CI25666
68906_11,CI23676
68907_11,CI26927
68908_11,CI25733
68910_11,CI24053
68913_11,CI25126
68918_11,CI26051
68926_11,CI24612
68928_11,CI24530
68930_11,CI23770
68936_11,CI24866
68938_11,CI26908
68939_11,CI26052
68941_11,CI24081
68942_11,CI26266
68943_11,CI24421
68944_11,CI24418
68950_11,CI24415
68951_11,CI24955
68955_11,CI24875
68957_11,CI26201
68960_11,CI26597
68965_11,CI24376
68966_11,CI24081
68968_11,CI28200
68969_11,CI24210
68970_11,CI24521
68972_11,CI24650
68973_11,CI25093
68976_11,CI25141
68978_11,CI25143
68982_11,CI26054
68990_11,CI25117
68991_11,CI26933
68993_11,CI24484
68996_11,CI24138
68997_11,CI23780
68999_11,CI27455
69004_11,CI24418
69005_11,CI24851
69006_11,CI24218
69009_11,CI24096
69010_11,CI24533
69014_11,CI25075
69018_11,CI23855
69019_11,CI26835
69022_11,CI23663
69023_11,CI24439
69025_11,CI24956
69027_11,CI26918
69029_11,CI28188
69031_11,CI24348
69034_11,CI25996
69038_11,CI23848
69039_11,CI28188
69042_11,CI28052
69045_11,CI23855
69049_11,CI24736
69050_11,CI26234
69059_11,CI28192
69064_11,CI24604
69065_11,CI24935
69069_11,CI23770
69070_11,CI26838
69073_11,CI25126
69077_11,CI27282
69079_11,CI28186
69080_11,CI28187
69081_11,CI28192
69084_11,CI24883
69086_11,CI25135
69091_11,CI25110
69093_11,CI25295
69094_11,CI24873
69095_11,CI24872
69102_11,CI24421
69103_11,CI24421
69107_11,CI24362
69108_11,CI24348
69110_11,CI23539
69113_11,CI25539
69116_11,CI26985
69118_11,CI28128
69119_11,CI27721
69120_11,CI25126
69121_11,CI24421
69122_11,CI23667
69127_11,CI24035
69128_11,CI24533
69132_11,CI24678
69138_11,CI24521
69142_11,CI24031
69143_11,CI24349
69144_11,CI24175
69147_11,CI24107
69148_11,CI24418
69150_11,CI24271
69152_11,CI23691
69153_11,CI27654
69154_11,CI23836
69156_11,CI23855
69159_11,CI23999
69167_11,CI23848
69168_11,CI26988
69172_11,CI23791
69176_11,CI24451
69178_11,CI24451
69180_11,CI24438
69186_11,CI23770
69190_11,CI26928
69192_11,CI23714
69196_11,CI26954
69197_11,CI24658
69198_11,CI25029
69201_11,CI25075
69207_11,CI23769
69209_11,CI25075
69210_11,CI24188
69213_11,CI24914
69215_11,CI27282
69217_11,CI26051
69219_11,CI23690
69220_11,CI24875
69225_11,CI25065
69227_11,CI23848
69228_11,CI28117
69230_11,CI23999
69233_11,CI24530
69234_11,CI24937
69235_11,CI26866
69241_11,CI24573
69244_11,CI25507
69249_11,CI24374
69252_11,CI25135
69256_11,CI24139
69258_11,CI28195
69268_11,CI23994
69269_11,CI26929
69272_11,CI23994
69274_11,CI25022
69277_11,CI24231
69280_11,CI24531
69288_11,CI24588
69289_11,CI24895
69290_11,CI23833
69291_11,CI24892
69293_11,CI25672
69297_11,CI24438
69298_11,CI25132
69302_11,CI23933
69303_11,CI26937
69305_11,CI23839
69306_11,CI24224
69309_11,CI25792
69313_11,CI28365
69316_11,CI24898
69317_11,CI23663
69318_11,CI26051
69321_11,CI25074
69323_11,CI23648
69324_11,CI24533
69328_11,CI24032
69329_11,CI24875
69334_11,CI24915
69337_11,CI25468
69342_11,CI26381
69344_11,CI28185
69345_11,CI26916
69346_11,CI28195
69349_11,CI28089
69352_11,CI23979
69353_11,CI25087
69354_11,CI26220
69359_11,CI25135
69360_11,CI26865
69366_11,CI23830
69368_11,CI24876
69369_11,CI25132
69371_11,CI25247
69373_11,CI23769
69380_11,CI23975
69381_11,CI26197
69384_11,CI27744
69385_11,CI24873
69387_11,CI24595
69388_11,CI24868
69390_11,CI24648
69398_11,CI28173
69399_11,CI24225
69402_11,CI27744
69403_11,CI26251
69404_11,CI25075
69408_11,CI25039
69416_11,CI26408
69419_11,CI24876
69424_11,CI25815
69426_11,CI24420
69428_11,CI24534
69430_11,CI25449
69434_11,CI24418
69436_11,CI27535
69438_11,CI24426
69439_11,CI23539
69440_11,CI25449
69441_11,CI26870
69444_11,CI26163
69449_11,CI23831
69452_11,CI25101
69453_11,CI26917
69455_11,CI26904
69459_11,CI24953
69460_11,CI24120
69467_11,CI23933
69468_11,CI23663
69475_11,CI26928
69476_11,CI25124
69482_11,CI25135
69483_11,CI25727
69487_11,CI23697
69489_11,CI24992
69491_11,CI24028
69495_11,CI23663
69499_11,CI25117
69505_11,CI25333
69507_11,CI28186
69515_11,CI27684
69516_11,CI23574
69518_11,CI26129
69519_11,CI28115
69520_11,CI24228
69521_11,CI26218
69522_11,CI26172
69523_11,CI28107
69525_11,CI24527
69526_11,CI26928
69528_11,CI23741
69529_11,CI24107
69534_11,CI26209
69536_11,CI23836
69541_11,CI26287
69546_11,CI24868
69550_11,CI25105
69551_11,CI26218
69553_11,CI26051
69555_11,CI25074
69557_11,CI23975
69559_11,CI25295
69562_11,CI24177
69563_11,CI23691
69565_11,CI23848
69566_11,CI23702
69572_11,CI24530
69573_11,CI27932
69579_11,CI26927
69582_11,CI24421
69584_11,CI24876
69585_11,CI26927
69586_11,CI26927
69590_11,CI26157
69596_11,CI24732
69599_11,CI24969
69600_11,CI24876
69606_11,CI28086
69607_11,CI23770
69609_11,CI26218
69613_11,CI24871
69618_11,CI25438
69620_11,CI24418
69622_11,CI26937
69623_11,CI25361
69624_11,CI26172
69626_11,CI24243
69629_11,CI27461
69631_11,CI24862
69636_11,CI27464
69642_11,CI23539
69645_11,CI23714
69647_11,CI24421
69648_11,CI23912
69649_11,CI27744
69650_11,CI26935
69651_11,CI26621
69652_11,CI26621
69653_11,CI24426
69662_11,CI24359
69664_11,CI25064
69665_11,CI23702
69668_11,CI23864
69669_11,CI25175
69670_11,CI28186
69675_11,CI24527
69676_11,CI24175
69678_11,CI28189
69679_11,CI28189
69687_11,CI28196
69688_11,CI26052
69689_11,CI25074
69691_11,CI28569
69693_11,CI24642
69695_11,CI24642
69698_11,CI24644
69699_11,CI24599
69704_11,CI25139
69705_11,CI24531
69707_11,CI23855
69709_11,CI24875
69713_11,CI25075
69717_11,CI25139
69721_11,CI24184
69722_11,CI24992
69731_11,CI25075
69735_11,CI25444
69736_11,CI25083
69737_11,CI25135
69738_11,CI24228
69740_11,CI27455
69742_11,CI24114
69743_11,CI26051
69744_11,CI23663
69747_11,CI23770
69753_11,CI25291
69754_11,CI25024
69755_11,CI24875
69758_11,CI26220
69760_11,CI25103
69761_11,CI27282
69766_11,CI25135
69768_11,CI23648
69776_11,CI28195
69777_11,CI24210
69781_11,CI27911
69783_11,CI24535
69786_11,CI24225
69789_11,CI24955
69792_11,CI24649
69794_11,CI25217
69795_11,CI24953
69798_11,CI24261
69800_11,CI25178
69803_11,CI23653
69809_11,CI27451
69810_11,CI24206
69811_11,CI25124
69815_11,CI25132
69817_11,CI28256
69822_11,CI25143
69824_11,CI23770
69830_11,CI28171
69832_11,CI24521
69835_11,CI24875
69836_11,CI25083
69838_11,CI23510
69850_11,CI25501
69851_11,CI25032
69852_11,CI25132
69853_11,CI25177
69854_11,CI26197
69859_11,CI24868
69860_11,CI24362
69862_11,CI23769
69863_11,CI25126
69866_11,CI26181
69867_11,CI24150
69870_11,CI23691
69881_11,CI24875
69883_11,CI24157
69885_11,CI24030
69887_11,CI25126
69888_11,CI26921
69889_11,CI25143
69894_11,CI26213
69897_11,CI25115
69899_11,CI26197
69901_11,CI24646
69903_11,CI23994
69904_11,CI25140
69905_11,CI24257
69906_11,CI23691
69907_11,CI28193
69908_11,CI24471
69909_11,CI24876
69912_11,CI28922
69914_11,CI26051
69915_11,CI26991
69916_11,CI24882
69917_11,CI25180
69918_11,CI24276
69921_11,CI24902
69923_11,CI25247
69924_11,CI24892
69926_11,CI24958
69927_11,CI24418
69928_11,CI24277
69932_11,CI24359
69934_11,CI24446
69936_11,CI28922
69939_11,CI25233
69947_11,CI25107
69949_11,CI25055
69950_11,CI24957
69957_11,CI24230
69958_11,CI25103
69961_11,CI23702
69965_11,CI26782
69967_11,CI26933
69969_11,CI26174
69970_11,CI27660
69976_11,CI23848
69981_11,CI25103
69982_11,CI23770
69987_11,CI24621
69989_11,CI25136
69992_11,CI24275
69993_11,CI25101
69994_11,CI24636
69998_11,CI25074
69999_11,CI25498
70003_11,CI24231
70005_11,CI24225
70009_11,CI25103
70010_11,CI27922
70011_11,CI24918
70013_11,CI26381
70015_11,CI23691
70021_11,CI26392
70022_11,CI25254
70024_11,CI26505
70026_11,CI27137
70027_11,CI26866
70032_11,CI24138
70034_11,CI26287
70035_11,CI26207
70036_11,CI24868
70037_11,CI23769
70038_11,CI25148
70042_11,CI24030
70046_11,CI24692
70050_11,CI23714
70053_11,CI26905
70058_11,CI24530
70061_11,CI24455
70062_11,CI26217
70065_11,CI25302
70069_11,CI25490
70073_11,CI25075
70076_11,CI25263
70080_11,CI24871
70082_11,CI23933
70084_11,CI24656
70086_11,CI23880
70087_11,CI25126
70091_11,CI23916
70099_11,CI24109
70101_11,CI28583
70104_11,CI24230
70105_11,CI24447
70106_11,CI25143
70109_11,CI25551
70113_11,CI24138
70114_11,CI25075
70115_11,CI27789
70116_11,CI26992
70117_11,CI25057
70122_11,CI23667
70128_11,CI28569
70130_11,CI23663
70131_11,CI24906
70135_11,CI25735
70138_11,CI25735
70139_11,CI28569
70145_11,CI24184
70150_11,CI26381
70157_11,CI24187
70161_11,CI24187
70165_11,CI24257
70168_11,CI25074
70170_11,CI24532
70173_11,CI23770
70177_11,CI25111
70180_11,CI25105
70182_11,CI24866
70183_11,CI23840
70186_11,CI26620
70188_11,CI26420
70191_11,CI26508
70194_11,CI25117
70195_11,CI26621
70196_11,CI25140
70197_11,CI24225
70198_11,CI24642
70200_11,CI24081
70203_11,CI24188
70204_11,CI25214
70205_11,CI23691
70207_11,CI23933
70211_11,CI23999
70212_11,CI24877
70215_11,CI25120
70218_11,CI24348
70219_11,CI25107
70226_11,CI28583
70227_11,CI24421
70229_11,CI24419
70230_11,CI24348
70233_11,CI24184
70236_11,CI24138
70239_11,CI26931
70240_11,CI24867
70246_11,CI26911
70249_11,CI24532
70250_11,CI23691
70251_11,CI25507
70253_11,CI28107
70254_11,CI25498
70260_11,CI25463
70261_11,CI26077
70262_11,CI23633
70267_11,CI24955
70268_11,CI23808
70284_11,CI26175
70287_11,CI23880
70289_11,CI26214
70292_11,CI24175
70294_11,CI25135
70298_11,CI28113
70299_11,CI24876
70302_11,CI24426
70304_11,CI24527
70305_11,CI23586
70307_11,CI24972
70313_11,CI25490
70315_11,CI24644
70329_11,CI26158
70331_11,CI26158
70333_11,CI25074
70335_11,CI26217
70337_11,CI24876
70339_11,CI26213
70340_11,CI24930
70341_11,CI23958
70343_11,CI24871
70344_11,CI26207
70345_11,CI24251
70353_11,CI24690
70354_11,CI25738
70359_11,CI23691
70363_11,CI26191
70366_11,CI26217
70371_11,CI25114
70373_11,CI26925
70376_11,CI26908
70377_11,CI26921
70379_11,CI24531
70384_11,CI28171
70386_11,CI28112
70387_11,CI24954
70390_11,CI26201
70393_11,CI24138
70394_11,CI23646
70396_11,CI26911
70398_11,CI23770
70403_11,CI28107
70407_11,CI24600
70412_11,CI23933
70413_11,CI28106
70415_11,CI24953
70418_11,CI24081
70421_11,CI25446
70424_11,CI24421
70426_11,CI27721
70429_11,CI24440
70433_11,CI25444
70435_11,CI23975
70438_11,CI24992
70439_11,CI26815
70440_11,CI24956
70442_11,CI23691
70443_11,CI26984
70444_11,CI25498
70446_11,CI26954
70450_11,CI23714
70453_11,CI25754
70463_11,CI25075
70467_11,CI25079
70470_11,CI28162
70472_11,CI28165
70473_11,CI25736
70477_11,CI24866
70480_11,CI23688
70488_11,CI23933
70489_11,CI25093
70490_11,CI24418
70491_11,CI24445
70496_11,CI23675
70498_11,CI25738
70499_11,CI24930
70500_11,CI26211
70501_11,CI25141
70502_11,CI24992
70507_11,CI24421
70511_11,CI26209
70512_11,CI25108
70516_11,CI23574
70519_11,CI25494
70520_11,CI26832
70521_11,CI24490
70527_11,CI24786
70530_11,CI24418
70534_11,CI24788
70538_11,CI25125
70540_11,CI24534
70543_11,CI24420
70552_11,CI24915
70563_11,CI24785
70564_11,CI28107
70565_11,CI23848
70568_11,CI25074
70571_11,CI28116
70572_11,CI24937
70577_11,CI25136
70579_11,CI23933
70581_11,CI24363
70584_11,CI26870
70586_11,CI26188
70587_11,CI26936
70589_11,CI23781
70595_11,CI24363
70599_11,CI27470
70600_11,CI24438
70613_11,CI24788
70618_11,CI27644
70619_11,CI24872
70628_11,CI25135
70631_11,CI28153
70632_11,CI24440
70637_11,CI23855
70639_11,CI25727
70640_11,CI25443
70646_11,CI24348
70647_11,CI24421
70655_11,CI23836
70657_11,CI24316
70659_11,CI23933
70660_11,CI24957
70666_11,CI25449
70671_11,CI25083
70675_11,CI23663
70677_11,CI26985
70679_11,CI26938
70680_11,CI23691
70682_11,CI24930
70686_11,CI23855
70688_11,CI23833
70692_11,CI26985
70696_11,CI24209
70698_11,CI24225
70703_11,CI25141
70704_11,CI24239
70705_11,CI24926
70713_11,CI26210
70732_11,CI24525
70739_11,CI24255
70740_11,CI26030
70742_11,CI25740
70749_11,CI24786
70759_11,CI23761
70761_11,CI24624
70762_11,CI23975
70767_11,CI24788
70771_11,CI26050
70774_11,CI25110
70775_11,CI24917
70779_11,CI26931
70789_11,CI26505
70800_11,CI24873
70801_11,CI25075
70803_11,CI23808
70804_11,CI24958
70808_11,CI24862
70809_11,CI24081
70810_11,CI26935
70811_11,CI24445
70814_11,CI26908
70816_11,CI24871
70817_11,CI23855
70819_11,CI24679
70820_11,CI26910
70821_11,CI25659
70822_11,CI25108
70825_11,CI25075
70826_11,CI23513
70834_11,CI26420
70836_11,CI26416
70837_11,CI23691
70842_11,CI24490
70844_11,CI23965
70845_11,CI24150
70846_11,CI23546
70847_11,CI23965
70849_11,CI26908
70851_11,CI26918
70855_11,CI26918
70857_11,CI25110
70859_11,CI23933
70863_11,CI23510
70864_11,CI26051
70865_11,CI24942
70867_11,CI26050
70871_11,CI23714
70879_11,CI24658
70880_11,CI25140
70881_11,CI24533
70884_11,CI28630
70889_11,CI24533
70891_11,CI25509
70893_11,CI25217
70898_11,CI25295
70901_11,CI26489
70902_11,CI23770
70904_11,CI24954
70909_11,CI24393
70922_11,CI25126
70923_11,CI24875
70926_11,CI25211
70931_11,CI24599
70932_11,CI24109
70936_11,CI25106
70938_11,CI24883
70940_11,CI26927
70941_11,CI23848
70943_11,CI26855
70945_11,CI27464
70947_11,CI25175
70948_11,CI25075
70950_11,CI26199
70951_11,CI25126
70956_11,CI23855
70957_11,CI25403
70958_11,CI23975
70959_11,CI27065
70966_11,CI28122
70968_11,CI25139
70971_11,CI26201
70972_11,CI24939
70975_11,CI25106
70976_11,CI25106
70979_11,CI24786
70983_11,CI24962
70985_11,CI24461
70987_11,CI23663
70990_11,CI24030
70991_11,CI24273
70993_11,CI23880
70996_11,CI23769
70997_11,CI25132
70999_11,CI28729
71007_11,CI28489
71009_11,CI25396
71011_11,CI24228
71013_11,CI28656
71014_11,CI24109
71018_11,CI23714
71021_11,CI25492
71022_11,CI23880
71024_11,CI25175
71028_11,CI25140
71029_11,CI26186
71036_11,CI24623
71037_11,CI23855
71038_11,CI23965
71039_11,CI26436
71042_11,CI24421
71043_11,CI23691
71044_11,CI24748
71045_11,CI24787
71050_11,CI24840
71053_11,CI27065
71055_11,CI24056
71058_11,CI28630
71061_11,CI24446
71062_11,CI24692
71063_11,CI24868
71070_11,CI26054
71072_11,CI25139
71078_11,CI24525
71079_11,CI24641
71084_11,CI25739
71086_11,CI24449
71088_11,CI24876
71090_11,CI24866
71092_11,CI26214
71094_11,CI24141
71100_11,CI23781
71101_11,CI25057
71103_11,CI25367
71104_11,CI26051
71106_11,CI24418
71108_11,CI26216
71109_11,CI26209
71112_11,CI24521
71117_11,CI25022
71120_11,CI24437
71123_11,CI24958
71125_11,CI24876
71128_11,CI27259
71131_11,CI25103
71132_11,CI25039
71133_11,CI24876
71143_11,CI25631
71145_11,CI24533
71146_11,CI24230
71147_11,CI24419
71152_11,CI24440
71153_11,CI24030
71154_11,CI24868
71155_11,CI25295
71157_11,CI26158
71158_11,CI25295
71161_11,CI24634
71165_11,CI26917
71167_11,CI24958
71168_11,CI24532
71174_11,CI24604
71178_11,CI24138
71181_11,CI23648
71182_11,CI24876
71187_11,CI24053
71190_11,CI24917
71197_11,CI24435
71199_11,CI24532
71208_11,CI23975
71209_11,CI25150
71212_11,CI24876
71213_11,CI23848
71214_11,CI25295
71216_11,CI26211
71218_11,CI24349
71220_11,CI26216
71222_11,CI25028
71229_11,CI25445
71234_11,CI24530
71238_11,CI25040
71239_11,CI23848
71249_11,CI23791
71250_11,CI24917
71254_11,CI26914
71256_11,CI26803
71258_11,CI24228
71280_11,CI24372
71282_11,CI23880
71285_11,CI25297
71286_11,CI23769
71287_11,CI25062
71289_11,CI25172
71292_11,CI23929
71293_11,CI26925
71294_11,CI24196
71298_11,CI25126
71299_11,CI23789
71300_11,CI24081
71304_11,CI27538
71307_11,CI25135
71309_11,CI27282
71313_11,CI24239
71314_11,CI25074
71318_11,CI25092
71321_11,CI24917
71326_11,CI24957
71327_11,CI23875
71328_11,CI26216
71333_11,CI24634
71336_11,CI25043
71337_11,CI23855
71341_11,CI26911
71342_11,CI25068
71344_11,CI24958
71350_11,CI25126
71354_11,CI26909
71356_11,CI24793
71359_11,CI24531
71364_11,CI25437
71365_11,CI26213
71366_11,CI24439
71372_11,CI24278
71376_11,CI24120
71377_11,CI24114
71379_11,CI24876
71380_11,CI23666
71381_11,CI24529
71388_11,CI23899
71389_11,CI26162
71393_11,CI25136
71395_11,CI26928
71397_11,CI24371
71400_11,CI26928
71401_11,CI24228
71402_11,CI25302
71404_11,CI24438
71405_11,CI24187
71407_11,CI24175
71409_11,CI24917
71410_11,CI24528
71415_11,CI24917
71421_11,CI24420
71422_11,CI25108
71423_11,CI25024
71424_11,CI26926
71427_11,CI25123
71428_11,CI23831
71430_11,CI23855
71433_11,CI27721
71435_11,CI23660
71436_11,CI23714
71440_11,CI26922
71442_11,CI24257
71443_11,CI26892
71444_11,CI26926
71447_11,CI27050
71448_11,CI24871
71453_11,CI26716
71454_11,CI27657
71455_11,CI27792
71456_11,CI25928
71458_11,CI26923
71459_11,CI23938
71463_11,CI25042
71466_11,CI26821
71467_11,CI26927
71472_11,CI26927
71477_11,CI25451
71484_11,CI26160
71489_11,CI26895
71492_11,CI26928
71493_11,CI24974
71499_11,CI27051
71505_11,CI26921
71507_11,CI23770
71508_11,CI26930
71511_11,CI26428
71514_11,CI23714
71515_11,CI26925
71529_11,CI23657
71531_11,CI26912
71535_11,CI24532
71536_11,CI23714
71537_11,CI25490
71538_11,CI25074
71539_11,CI23612
71540_11,CI23781
71542_11,CI26922
71543_11,CI26916
71548_11,CI26201
71549_11,CI23714
71550_11,CI26922
71551_11,CI26923
71553_11,CI26923
71558_11,CI26922
71565_11,CI24958
71566_11,CI24870
71569_11,CI24642
71570_11,CI24532
71572_11,CI26930
71573_11,CI27451
71575_11,CI23714
71576_11,CI24031
71577_11,CI24252
71581_11,CI26922
71582_11,CI24533
71583_11,CI26922
71598_11,CI26921
71601_11,CI28195
71603_11,CI23855
71606_11,CI24958
71608_11,CI28480
71612_11,CI26925
71613_11,CI25180
71617_11,CI26922
71620_11,CI24873
71623_11,CI26923
71635_11,CI25140
71636_11,CI27662
71639_11,CI27661
71642_11,CI26169
71646_11,CI24876
71647_11,CI27668
71649_11,CI24239
71656_11,CI24349
71657_11,CI27664
71659_11,CI27656
71660_11,CI27675
71661_11,CI26107
71662_11,CI24532
71669_11,CI26895
71670_11,CI25446
71674_11,CI24604
71676_11,CI26220
71678_11,CI25124
71681_11,CI25597
71683_11,CI23907
71686_11,CI27659
71687_11,CI26909
71692_11,CI23792
71693_11,CI27668
71695_11,CI24255
71696_11,CI26220
71697_11,CI26839
71698_11,CI24179
71699_11,CI23932
71702_11,CI23791
71705_11,CI27141
71708_11,CI24179
71713_11,CI24956
71714_11,CI25074
71717_11,CI24493
71718_11,CI23848
71719_11,CI27282
71725_11,CI26843
71729_11,CI27669
